date,New Year's Day BH,"Martin Luther King, Jr. Day BH",Washington's Birthday BH,Memorial Day BH,Independence Day BH,Labour Day BH,Veterans Day BH,Thanksgiving Day BH,Christmas Day BH,Juneteenth BH,Dummy Week 1,Dummy Week 2,Dummy Week 3,Dummy Week 4,Dummy Week 5,Dummy Week 6,Dummy Week 7,Dummy Week 8,Dummy Week 9,Dummy Week 10,Dummy Week 11,Dummy Week 12,Dummy Week 13,Dummy Week 14,Dummy Week 15,Dummy Week 16,Dummy Week 17,Dummy Week 18,Dummy Week 19,Dummy Week 20,Dummy Week 21,Dummy Week 22,Dummy Week 23,Dummy Week 24,Dummy Week 25,Dummy Week 26,Dummy Week 27,Dummy Week 28,Dummy Week 29,Dummy Week 30,Dummy Week 31,Dummy Week 32,Dummy Week 33,Dummy Week 34,Dummy Week 35,Dummy Week 36,Dummy Week 37,Dummy Week 38,Dummy Week 39,Dummy Week 40,Dummy Week 41,Dummy Week 42,Dummy Week 43,Dummy Week 44,Dummy Week 45,Dummy Week 46,Dummy Week 47,Dummy Week 48,Dummy Week 49,Dummy Week 50,Dummy Week 51,Dummy Week 52,Dummy Week 53,Dummy January,Dummy February,Dummy March,Dummy April,Dummy May,Dummy June,Dummy July,Dummy August,Dummy September,Dummy October,Dummy November,Dummy December
01/01/2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
08/01/2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15/01/2018,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22/01/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29/01/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
05/02/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12/02/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19/02/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26/02/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
05/03/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
